,Dataset,"[n_components,covariance_type]",f1 score,Adjusted Random Score,Silhouette Score,Execution Time
0,Iris,"[1, 'full']",0.16666666666666666,0.0,,0.09474754333496094
1,Iris,"[1, 'tied']",0.16666666666666666,0.0,,0.09275102615356445
2,Iris,"[1, 'diag']",0.16666666666666666,0.0,,0.11868548393249512
3,Iris,"[1, 'spherical']",0.16666666666666666,0.0,,0.1097097396850586
4,Iris,"[2, 'full']",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.010972261428833008
5,Iris,"[2, 'tied']",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.010957717895507812
6,Iris,"[2, 'diag']",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.011969327926635742
7,Iris,"[2, 'spherical']",0.0,0.5681159420289855,0.6294675561906644,0.01395416259765625
8,Iris,"[3, 'full']",0.31746031746031744,0.9038742317748124,0.45078004251628156,0.024931907653808594
9,Iris,"[3, 'tied']",0.3129251700680272,0.8856970310281228,0.462590657154983,0.01296544075012207
10,Iris,"[3, 'diag']",0.2758620689655173,0.7445264308738749,0.5061626262368144,0.009971857070922852
11,Iris,"[3, 'spherical']",0.06535947712418301,0.7008666982225341,0.48247222154221125,0.010971307754516602
12,Iris,"[4, 'full']",0.7960680751173709,0.8028146695161698,0.35956153813471875,0.03290987014770508
13,Iris,"[4, 'tied']",0.22807017543859648,0.8217512295310416,0.38566708270724853,0.023936033248901367
14,Iris,"[4, 'diag']",0.0,0.6685369810200384,0.4291733323653522,0.01695394515991211
15,Iris,"[4, 'spherical']",0.4281156156156157,0.601190551066646,0.40725938248978283,0.011968135833740234
16,Iris,"[5, 'full']",0.0,0.6741942149067455,0.22268876670292792,0.046874046325683594
17,Iris,"[5, 'tied']",0.24999999999999994,0.4957299745984367,0.33336760272445826,0.012964248657226562
18,Iris,"[5, 'diag']",0.24472573839662445,0.659199417305839,0.3776478755475758,0.012965202331542969
19,Iris,"[5, 'spherical']",0.24999999999999994,0.4661993769470405,0.35666002033945354,0.014959335327148438
20,Iris,"[6, 'full']",0.3253663003663004,0.5825609212549006,0.2323159178169334,0.039895057678222656
21,Iris,"[6, 'tied']",0.0,0.6493513560082889,0.41675864699706217,0.013962030410766602
22,Iris,"[6, 'diag']",0.24808816914080073,0.5211635380622163,0.2982449756706184,0.012966394424438477
23,Iris,"[6, 'spherical']",0.0091324200913242,0.4753198391014648,0.3329566704686673,0.012965202331542969
24,Iris,"[7, 'full']",0.1616161616161616,0.5722958032129434,0.4002919121646295,0.027925491333007812
25,Iris,"[7, 'tied']",0.11111111111111112,0.5819705415482299,0.2776743054113037,0.024930715560913086
26,Iris,"[7, 'diag']",0.11458333333333331,0.67418441565838,0.38408673963384465,0.016953229904174805
27,Iris,"[7, 'spherical']",0.4202686202686202,0.4609314811914581,0.34029522897919556,0.013962268829345703
28,Wine,"[1, 'full']",0.16503105295595694,0.0,,0.08975863456726074
29,Wine,"[1, 'tied']",0.16503105295595694,0.0,,0.09873580932617188
30,Wine,"[1, 'diag']",0.16503105295595694,0.0,,0.09275317192077637
31,Wine,"[1, 'spherical']",0.16503105295595694,0.0,,0.09873795509338379
32,Wine,"[2, 'full']",0.620625829383547,0.5913055822917322,0.15677833512137687,0.012964725494384766
33,Wine,"[2, 'tied']",0.26863104792478787,0.4610041624800529,0.29438962795636403,0.014957904815673828
34,Wine,"[2, 'diag']",0.21512435298573412,0.36739653939220057,0.29471644435157995,0.010968446731567383
35,Wine,"[2, 'spherical']",0.240183641415972,0.3981052598636229,0.30119532073808325,0.01795196533203125
36,Wine,"[3, 'full']",0.34285951326591657,0.8974949815093207,0.2927455860995386,0.021941661834716797
37,Wine,"[3, 'tied']",0.988777421080792,0.9636510381114426,0.294773645028622,0.01795029640197754
38,Wine,"[3, 'diag']",0.3453627072998774,0.9150207134605749,0.2952576165665273,0.01695537567138672
39,Wine,"[3, 'spherical']",0.9606727788277167,0.8807957887253968,0.2936151594489995,0.011967658996582031
40,Wine,"[4, 'full']",0.013445378151260507,0.7466721848782677,0.23855110557122852,0.023937463760375977
41,Wine,"[4, 'tied']",0.313646403534044,0.7931921830339435,0.2436618077122457,0.014959335327148438
42,Wine,"[4, 'diag']",0.27027738764044945,0.7457087965373641,0.2550240202576308,0.011967897415161133
43,Wine,"[4, 'spherical']",0.04438229558700628,0.7632870394100935,0.27032216940125625,0.013962030410766602
44,Wine,"[5, 'full']",0.17033245279803277,0.6304486916355583,0.19805115831414946,0.02792501449584961
45,Wine,"[5, 'tied']",0.0,0.6679212090411688,0.18732606314940692,0.02792525291442871
46,Wine,"[5, 'diag']",0.36301357388145455,0.7197043963501998,0.21048945513088724,0.01695394515991211
47,Wine,"[5, 'spherical']",0.3489452989346567,0.6745316011588769,0.21581009815296734,0.01894855499267578
48,Wine,"[6, 'full']",0.05862877983421268,0.5136660915406989,0.14041693908021724,0.04886889457702637
49,Wine,"[6, 'tied']",0.23478464419475653,0.5116985253710444,0.0986457815731886,0.033907175064086914
50,Wine,"[6, 'diag']",0.24701476096056404,0.5131127276912697,0.11268968509826684,0.020943164825439453
51,Wine,"[6, 'spherical']",0.30329341151892647,0.679195821414819,0.23975068993241191,0.02094435691833496
52,Wine,"[7, 'full']",0.2696339821583603,0.5134029415189676,0.15786077883624838,0.018947839736938477
53,Wine,"[7, 'tied']",0.32862767694228373,0.6636781809321602,0.21061225167480055,0.02393651008605957
54,Wine,"[7, 'diag']",0.2210553196064728,0.47827800675581894,0.11761309897839256,0.021939992904663086
55,Wine,"[7, 'spherical']",0.23894442608504074,0.5692739686434615,0.19703643993232042,0.019945621490478516
